"dataset","column","sample_values"
"GSE36980","title","""""AD_FC, biological rep1"""" | """"AD_FC, biological rep2"""" | """"AD_FC, biological rep3"""" | """"AD_FC, biological rep4"""" | """"AD_FC, biological rep5"""""
"GSE36980","geo_accession","""""GSM907792"""" | """"GSM907793"""" | """"GSM907794"""" | """"GSM907795"""" | """"GSM907796"""""
"GSE36980","status","""""Public on Apr 17 2013"""" | """"Public on Sep 04 2020"""""
"GSE36980","submission_date","""""Apr 02 2012"""" | """"Sep 03 2020"""""
"GSE36980","last_update_date","""""Apr 17 2013"""" | """"May 12 2016"""" | """"Sep 05 2013"""" | """"Sep 04 2020"""""
"GSE36980","type","""""RNA"""""
"GSE36980","channel_count","""""1"""""
"GSE36980","source_name_ch1","""""Frontal cortex of AD brain"""" | """"Frontal cortex of non-AD brain"""" | """"Temporal cortex of AD brain"""" | """"Temporal cortex of non-AD brain"""" | """"Hippocampus of of AD brain"""""
"GSE36980","organism_ch1","""""Homo sapiens"""""
"GSE36980","characteristics_ch1","""""tissue: Frontal cortex"""" | """"tissue: Temporal cortex"""" | """"tissue: Hippocampus"""""
"GSE36980","characteristics_ch1.1","""""age: 84"""" | """"age: 105"""" | """"age: 88"""" | """"age: 91"""" | """"age: 95"""""
"GSE36980","characteristics_ch1.2","""""Sex: M"""" | """"Sex: F"""""
"GSE36980","treatment_protocol_ch1","""""During autopsy dissection, parts of the frontal cortex, temporal cortex and hippocampus were cut out from each brain, and preserved at –80°C until RNA preparation."""""
"GSE36980","growth_protocol_ch1","""""We examined postmortem human brains donated for the Hisayama study."""""
"GSE36980","molecule_ch1","""""total RNA"""""
"GSE36980","extract_protocol_ch1","""""Total RNA was isolated using a combination of Isogen (Nippon Gene) and the RNeasy Mini Kit (Qiagen), according to the manufacturers’ instructions."""""
"GSE36980","label_ch1","""""biotin"""""
"GSE36980","label_protocol_ch1","""""The Ambion WT Expression Kit and the GeneChip WT Terminal Labeling and Controls Kit (Affymetrix) were used to generate amplified and biotinylated sense-strand DNA targets from expressed transcripts (100 ng of total RNA)."""""
"GSE36980","taxid_ch1","""""9606"""""
"GSE36980","hyb_protocol","""""Following fragmentation, 5.5 µg of cDNA were hybridized for 17 hr at 45℃ on Affymetrix Human Gene 1.0 ST Array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450."""""
"GSE36980","scan_protocol","""""GeneChips were scanned using the Affymetrix GeneChip® Scanner 3000 7G."""""
"GSE36980","description",""""""""" | """"2020/09/03 newly added"""""
"GSE36980","data_processing","""""CEL files were imported into Affymetrix Expression Console Software, and CHP files were generated."""""
"GSE36980","platform_id","""""GPL6244"""""
"GSE36980","contact_name","""""Yusaku,,Nakabeppu"""""
"GSE36980","contact_email","""""yusaku@bioreg.kyushu-u.ac.jp"""""
"GSE36980","contact_phone","""""81-92-642-6800"""""
"GSE36980","contact_laboratory","""""Division of Neurofunctional Genomics"""""
"GSE36980","contact_department","""""Department of Immunobiology and Neuroscience"""""
"GSE36980","contact_institute","""""Medical Institute of Bioregulation, Kyushu University"""""
"GSE36980","contact_address","""""3-1-1 Maidashi Higashi-ku"""""
"GSE36980","contact_city","""""Fukuoka"""""
"GSE36980","contact_state","""""Fukuoka"""""
"GSE36980","contact_zip.postal_code","""""812-8582"""""
"GSE36980","contact_country","""""Japan"""""
"GSE36980","supplementary_file","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907792/suppl/GSM907792.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907793/suppl/GSM907793.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907794/suppl/GSM907794.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907795/suppl/GSM907795.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907796/suppl/GSM907796.CEL.gz"""""
"GSE36980","supplementary_file.1","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907792/suppl/GSM907792.chp.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907793/suppl/GSM907793.chp.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907794/suppl/GSM907794.chp.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907795/suppl/GSM907795.chp.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM907nnn/GSM907796/suppl/GSM907796.chp.gz"""""
"GSE36980","data_row_count","""""33297"""""
"GSE44770","title","""""1_PFC"""" | """"2_PFC"""" | """"3_PFC"""" | """"4_PFC"""" | """"5_PFC"""""
"GSE44770","geo_accession","""""GSM1090501"""" | """"GSM1090502"""" | """"GSM1090503"""" | """"GSM1090504"""" | """"GSM1090505"""""
"GSE44770","status","""""Public on Apr 25 2013"""""
"GSE44770","submission_date","""""Mar 01 2013"""""
"GSE44770","last_update_date","""""Dec 03 2015"""""
"GSE44770","type","""""RNA"""""
"GSE44770","channel_count","""""2"""""
"GSE44770","source_name_ch1","""""HBTRC_PF_Pool"""""
"GSE44770","organism_ch1","""""Homo sapiens"""""
"GSE44770","characteristics_ch1","""""age: NA"""""
"GSE44770","characteristics_ch1.1","""""tissue: brain"""""
"GSE44770","characteristics_ch1.2","""""gender: NA"""""
"GSE44770","treatment_protocol_ch1","""""NA"""""
"GSE44770","molecule_ch1","""""total RNA"""""
"GSE44770","extract_protocol_ch1","""""Qiagen RNeasy spin columns with DNAse treatment  Qiagen RNeasy spin columns with DNAse treatment"""""
"GSE44770","label_ch1","""""Cy3"""""
"GSE44770","label_protocol_ch1","""""Samples were amplified and labeled using a custom automated two-cycle version of the MessageAmp II kit from Ambion. Hybridizations to custom Agilent microarrays were completed as described in by Hughes et al. Nat Biotech (2001), 19(4):342-7. Sample amplification, labeling, and microarray processing were performed by the Rosetta Inpharmatics Gene Expression Laboratory in Seattle, Wash."""""
"GSE44770","taxid_ch1","""""9606"""""
"GSE44770","source_name_ch2","""""1_PFC"""" | """"2_PFC"""" | """"3_PFC"""" | """"4_PFC"""" | """"5_PFC"""""
"GSE44770","organism_ch2","""""Homo sapiens"""""
"GSE44770","characteristics_ch2","""""disease: A"""" | """"disease: N"""""
"GSE44770","characteristics_ch2.1","""""age: 88"""" | """"age: 90"""" | """"age: 64"""" | """"age: 95"""" | """"age: 77"""""
"GSE44770","characteristics_ch2.2","""""gender: M"""" | """"gender: F"""""
"GSE44770","characteristics_ch2.3","""""pmi: 8.8"""" | """"pmi: 12.6"""" | """"pmi: 25.8"""" | """"pmi: 7.05"""" | """"pmi: 9.25"""""
"GSE44770","characteristics_ch2.4","""""ph: 6.409"""" | """"ph: 5.644"""" | """"ph: 6.652"""" | """"ph: 6.378"""" | """"ph: 6.05"""""
"GSE44770","characteristics_ch2.5","""""rin: 7.7"""" | """"rin: 7.2"""" | """"rin: 7"""" | """"rin: 6.9"""" | """"rin: 7.1"""""
"GSE44770","characteristics_ch2.6","""""pres: LNV"""" | """"pres: Dry-Ice"""""
"GSE44770","characteristics_ch2.7","""""batch: 1"""" | """"batch: 2"""" | """"batch: 3"""""
"GSE44770","characteristics_ch2.8","""""tissue: brain"""""
"GSE44770","treatment_protocol_ch2","""""NA"""""
"GSE44770","molecule_ch2","""""total RNA"""""
"GSE44770","extract_protocol_ch2","""""Qiagen RNeasy spin columns with DNAse treatment  Qiagen RNeasy spin columns with DNAse treatment"""""
"GSE44770","label_ch2","""""Cy5"""""
"GSE44770","label_protocol_ch2","""""Samples were amplified and labeled using a custom automated two-cycle version of the MessageAmp II kit from Ambion. Hybridizations to custom Agilent microarrays were completed as described in by Hughes et al. Nat Biotech (2001), 19(4):342-7. Sample amplification, labeling, and microarray processing were performed by the Rosetta Inpharmatics Gene Expression Laboratory in Seattle, Wash."""""
"GSE44770","taxid_ch2","""""9606"""""
"GSE44770","hyb_protocol","""""Microarrays are incubated at 40C for 48 hours in a rotating carousel. Hybridizations to custom Agilent microarrays are completed as previously described (Hughes et al.Nat Biotech (2001), 19(4):342-7). Microarrays are washed to remove non-specific hybridized sample. Afterwards, microarrays are dried in an ozone-free nitrogen chamber."""""
"GSE44770","scan_protocol","""""Microarrays are scanned using the Agilent LP2 laser scanner. The scanner output is a Tiff file, which contains the quantitative hybridization data from each individual microarray. The Tiff files are then processed using Rosetta custom feature extraction software."""""
"GSE44770","description","""""DLPFC"""""
"GSE44770","data_processing","""""Data were processed using the Rosetta Resolver system. Rosetta's custom feature extraction software performs error modeling before data are loaded into the Resolver system. The Resolver system performs a squeeze operation that combines replicates of the same sequence in an array while applying error weighting. The error weighting consists of adjusting for additive and multiplicative noise. A P-value is generated and propagated throughout the system. The P-value represents the probability that a gene is expressed. The Resolver system allows users to set thresholds, below which genes of a P-value are considered to be significantly expressed. The Resolver system also combines multiple arrays using a squeezing process. If multiple spots reference one sequence, summarization is performed using an error-weighted average as described in Roland Stoughton and Hongyue Dai, Statistical Combining of Cell Expression Profiles. US Patent #6,351,712, February 26, 2002."""""
"GSE44770","platform_id","""""GPL4372"""""
"GSE44770","contact_name","""""Jun,,Zhu"""""
"GSE44770","contact_email","""""junzhu_99@yahoo.com"""""
"GSE44770","contact_department","""""Genetics and Genomic Sciences"""""
"GSE44770","contact_institute","""""Icahn Medical School at Mount Sinai"""""
"GSE44770","contact_address","""""One Gustave L Levy, Box 1498"""""
"GSE44770","contact_city","""""New York"""""
"GSE44770","contact_state","""""NY"""""
"GSE44770","contact_zip.postal_code","""""10029"""""
"GSE44770","contact_country","""""USA"""""
"GSE44770","supplementary_file","""""NONE"""""
"GSE44770","data_row_count","""""39280"""""
"GSE48350","title","""""PostcentralGyrus_female_91yrs_indiv10"""" | """"SuperiorFrontalGyrus_female_91yrs_indiv10"""" | """"Hippocampus_female_96yrs_indiv105"""" | """"Hippocampus_male_82yrs_indiv106"""" | """"Hippocampus_male_84yrs_indiv108"""""
"GSE48350","geo_accession","""""GSM300166"""" | """"GSM300167"""" | """"GSM300168"""" | """"GSM300169"""" | """"GSM300170"""""
"GSE48350","status","""""Public on Oct 09 2008"""" | """"Public on May 01 2009"""" | """"Public on Apr 21 2014"""""
"GSE48350","submission_date","""""Jun 25 2008"""" | """"Sep 09 2008"""" | """"Dec 10 2008"""" | """"Jun 27 2013"""""
"GSE48350","last_update_date","""""Jun 26 2019"""" | """"May 03 2022"""""
"GSE48350","type","""""RNA"""""
"GSE48350","channel_count","""""1"""""
"GSE48350","source_name_ch1","""""brain, postcentral gyrus, female, 91 years"""" | """"brain, superior frontal gyrus, female, 91 years"""" | """"brain, hippocampus, female, 96 years"""" | """"brain, hippocampus, male, 82 years"""" | """"brain, hippocampus, male, 84 years"""""
"GSE48350","organism_ch1","""""Homo sapiens"""""
"GSE48350","characteristics_ch1","""""individual: 10, C"""" | """"individual: 105, C"""" | """"individual: 106, C"""" | """"individual: 108, C"""" | """"individual: 109, C"""""
"GSE48350","characteristics_ch1.1","""""brain region: postcentral gyrus"""" | """"brain region: superior frontal gyrus"""" | """"brain region: hippocampus"""" | """"brain region: entorhinal cortex"""" | """"age (yrs): 76"""""
"GSE48350","characteristics_ch1.2","""""gender: female"""" | """"gender: male"""" | """"brain region: entorhinal cortex"""" | """"brain region: hippocampus"""" | """"brain region: post-central gyrus"""""
"GSE48350","characteristics_ch1.3","""""age (yrs): 91"""" | """"age (yrs): 96"""" | """"age (yrs): 82"""" | """"age (yrs): 84"""" | """"age (yrs): 87"""""
"GSE48350","characteristics_ch1.4",""""""""" | """"apoe genotype: 3,3"""" | """"apoe genotype: 4,4"""" | """"apoe genotype: 3,4"""" | """"apoe genotype: 2,4"""""
"GSE48350","characteristics_ch1.5",""""""""" | """"mmse: 3"""" | """"mmse: 9"""" | """"mmse: 0"""" | """"mmse: 26"""""
"GSE48350","treatment_protocol_ch1","""""N/A"""" | """""""""
"GSE48350","growth_protocol_ch1","""""N/A"""" | """""""""
"GSE48350","molecule_ch1","""""total RNA"""""
"GSE48350","extract_protocol_ch1","""""Total RNA was extracted from 10-200 mg of frozen, unfixed tissue using Trizol reagent (Invitrogen, Carlsbad CA), and purified using quick spin columns (Qiagen, Valencia CA).  RNA quality was assessed using the Agilent BioAnalyzer (Agilent Technologies, Palo Alto, CA) and UV spectrophotometer for the presence of sharp peaks and 28S/18S RNA."""" | """"Trizol extraction of total RNA, followed by purification using Qiagen quick-spin columns"""""
"GSE48350","label_ch1","""""biotin"""""
"GSE48350","label_protocol_ch1","""""Total RNA (10 ug) from each sample was used to generate first strand cDNA using a T7-linked-(dT)24 primer, followed by in vitro transcription using the ENZO BioArray High-Yield RNA transcript labeling kit (ENZO Farmingdale, NY) to generate biotin-labeled cRNA target."""" | """"Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 10 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix) using robotics system (Biomek FX MicroArray Plex SA System; Beckman Coulter) to optimize consistency in processing"""""
"GSE48350","taxid_ch1","""""9606"""""
"GSE48350","hyb_protocol","""""Using a robotics system (Biomek FX MicroArray Plex SA System; Beckman Coultier) to optimize consistency in processing and minimize handling variability, each fragmented, biotin-labeled cRNA sample (30 mg) was individually hybridized to an Affymetrix Hg-U133 plus 2.0 chip for 16 hours and rotated at 13 rpm at 50C."""" | """"Following fragmentation, 30 mg biotin-labeled cRNA were hybridized for 16 hr and rotated at 13 rpm at 50° C on Affymetrix Human HgU133 plus 2.0 microarrays"""""
"GSE48350","scan_protocol","""""The chips were scanned using an Affymetrix GeneChip Scanner 3000 7G"""" | """"Affymetrix Genekeep GCS3000, software version 3.2.2.1515"""""
"GSE48350","description","""""Brain from cognitively intact individual."""" | """"Postmortem brain tissue from cognitively intact individual."""" | """"post-mortem tissue"""""
"GSE48350","data_processing","""""GC-RMA expression values were obtained from CEL files using GeneSpring 7.3.1 software.  PLIER expression values were obtained using Expression Console software using default settings.  PLIER and GC-RMA data were processed using GeneSpring 7.0 software, with default normalizations (Data transformation:set values<0.01 to 0.01; per chip: normalize to 50th percentile; per gene: normalize to median)."""" | """"GC-RMA, using Genespring 7.3. data transformation: measurements <0.01 set to 0.01; per chip: normalized to the 50th percentile; per gene: normalize to median"""""
"GSE48350","platform_id","""""GPL570"""""
"GSE48350","contact_name","""""Nicole,Claudia,Berchtold"""""
"GSE48350","contact_email","""""nberchto@uci.edu"""""
"GSE48350","contact_phone","""""949 824 6071"""""
"GSE48350","contact_laboratory","""""Carl W. Cotman"""""
"GSE48350","contact_department","""""Institute for Memory Impairments and Neurological Disorders"""""
"GSE48350","contact_institute","""""UC Irvine"""""
"GSE48350","contact_address","""""1226 Gillespie Neuroscience Facility"""""
"GSE48350","contact_city","""""Irvine"""""
"GSE48350","contact_state","""""CA"""""
"GSE48350","contact_zip.postal_code","""""92697-4540"""""
"GSE48350","contact_country","""""USA"""""
"GSE48350","supplementary_file","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM300nnn/GSM300166/suppl/GSM300166.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM300nnn/GSM300167/suppl/GSM300167.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM300nnn/GSM300168/suppl/GSM300168.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM300nnn/GSM300169/suppl/GSM300169.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM300nnn/GSM300170/suppl/GSM300170.CEL.gz"""""
"GSE48350","data_row_count","""""54675"""""
"GSE48350","relation","""""Reanalyzed by: GSE119087"""" | """"Reanalyzed by: GSE133349"""""
"GSE48350","relation.1","""""Reanalyzed by: GSE133349"""" | """""""""
"GSE48350","relation.2",""""""""" | """"Reanalyzed by: GSE202101"""""
"GSE5281","title","""""EC control 1"""" | """"EC control 2"""" | """"EC control 3"""" | """"EC control 4"""" | """"EC control 5"""""
"GSE5281","geo_accession","""""GSM119615"""" | """"GSM119616"""" | """"GSM119617"""" | """"GSM119618"""" | """"GSM119619"""""
"GSE5281","status","""""Public on Jul 10 2006"""" | """"Public on Oct 23 2007"""""
"GSE5281","submission_date","""""Jul 10 2006"""" | """"Oct 19 2007"""""
"GSE5281","last_update_date","""""Jun 26 2019"""""
"GSE5281","type","""""RNA"""""
"GSE5281","channel_count","""""1"""""
"GSE5281","source_name_ch1","""""brain, Entorhinal Cortex"""" | """"brain, hippocampus"""" | """"brain, Medial Temporal Gyrus"""" | """"brain, Posterior Cingulate"""" | """"brain, Posterior cingulate"""""
"GSE5281","organism_ch1","""""Homo sapiens"""""
"GSE5281","characteristics_ch1","""""Sample Amount: 10 ug"""" | """"sample amount: 10 ug"""" | """"Sample Amount: 10 ng"""" | """"sample amount: 10 ng"""""
"GSE5281","characteristics_ch1.1","""""Bio-Source Name: EC control 1"""" | """"Bio-Source Name: EC control 2"""" | """"Bio-Source Name: EC control 3"""" | """"Bio-Source Name: EC control 4"""" | """"Bio-Source Name: EC control 5"""""
"GSE5281","characteristics_ch1.2","""""Organism: Human """" | """"organism: Human """""
"GSE5281","characteristics_ch1.3","""""Organ/Tissue Type: brain """" | """"organ/tissue type: brain """""
"GSE5281","characteristics_ch1.4","""""Organ Region: Entorhinal Cortex """" | """"Organ Region: hippocampus """" | """"Organ Region: Medial Temporal Gyrus """" | """"organ region: Posterior Cingulate """" | """"organ region: Posterior Singulate """""
"GSE5281","characteristics_ch1.5","""""Cell Type: layer III neurons """" | """"cell type: layer III neurons """" | """"Cell Type: pyramidal neuron """" | """"cell type: pyramidal neuron """""
"GSE5281","characteristics_ch1.6","""""Ethnicity: Caucasian """" | """"ethnicity: Caucasian """" | """"Ethnicity: unknown """" | """"ethnicity: unknown """""
"GSE5281","characteristics_ch1.7","""""Developmental Stage: Adult """" | """"developmental stage: Adult """""
"GSE5281","characteristics_ch1.8","""""Disease State: normal """" | """"disease state: normal """" | """"Disease State: Alzheimer's Disease """" | """"disease state: Alzheimer's Disease """""
"GSE5281","characteristics_ch1.9","""""Sex: male """" | """"Sex: female """" | """"sex: male """" | """"sex: female """""
"GSE5281","characteristics_ch1.10","""""Genetic Variation: None """" | """"genetic variation: None """""
"GSE5281","characteristics_ch1.11","""""Age: 63 years"""" | """"Age: 85 years"""" | """"Age: 80 years"""" | """"Age: 102 years"""" | """"Age: 79 years"""""
"GSE5281","molecule_ch1","""""total RNA"""""
"GSE5281","extract_protocol_ch1",""""""""" | """"Arcturus PicoPure"""" | """"Arcturus PicoPurebo"""""
"GSE5281","label_ch1",""""""""" | """"biotin"""""
"GSE5281","label_protocol_ch1",""""""""" | """"Affymetrix double-round expression profiling"""""
"GSE5281","taxid_ch1","""""9606"""""
"GSE5281","hyb_protocol",""""""""" | """"Affymetrix's manufacturer's protocol: hybridization onto Affymetrix Human Genome U133 Plus 2.0 array"""" | """"Affymetrix's manufacturer protocol: hybridization onto Affymetrix Human Genome U133 Plus 2.0 array"""""
"GSE5281","scan_protocol",""""""""" | """"Affymetrix GCOS"""""
"GSE5281","description","""""arrayconsortium.tgen.org::biosample.433887"""" | """"arrayconsortium.tgen.org::biosample.433901"""" | """"arrayconsortium.tgen.org::biosample.433915"""" | """"arrayconsortium.tgen.org::biosample.433929"""" | """"arrayconsortium.tgen.org::biosample.433943"""""
"GSE5281","description.1","""""AD control"""" | """"cortical layer III neurons"""""
"GSE5281","data_processing",""""""""" | """"MAS5.0, target scaling to 150"""" | """"MAS5.0; target scaling to 150"""""
"GSE5281","platform_id","""""GPL570"""""
"GSE5281","contact_name","""""Winnie,,Liang"""""
"GSE5281","contact_email","""""wliang@tgen.org"""""
"GSE5281","contact_institute","""""Translational Genomics"""""
"GSE5281","contact_address","""""445 N. Fifth Street"""""
"GSE5281","contact_city","""""Phoenix"""""
"GSE5281","contact_state","""""AZ"""""
"GSE5281","contact_zip.postal_code","""""85012"""""
"GSE5281","contact_country","""""USA"""""
"GSE5281","supplementary_file","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM119nnn/GSM119615/suppl/GSM119615.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM119nnn/GSM119616/suppl/GSM119616.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM119nnn/GSM119617/suppl/GSM119617.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM119nnn/GSM119618/suppl/GSM119618.CEL.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM119nnn/GSM119619/suppl/GSM119619.CEL.gz"""""
"GSE5281","supplementary_file.1",""""""""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238763/suppl/GSM238763.CHP.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238790/suppl/GSM238790.CHP.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238791/suppl/GSM238791.CHP.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM238nnn/GSM238792/suppl/GSM238792.CHP.gz"""""
"GSE5281","data_row_count","""""54675"""""
"GSE5281","relation","""""Reanalyzed by: GSE64985"""""
"GSE5281","relation.1","""""Reanalyzed by: GSE119087"""""
"GSE5281","relation.2","""""Reanalyzed by: GSE133349"""""
"GSE66351","title","""""Dnr01_F_78_AD_Glia"""" | """"Dnr01_F_78_AD_Neuron"""" | """"Dnr02_M_76_AD_Glia"""" | """"Dnr02_M_76_AD_Neuron"""" | """"Dnr03_F_75_AD_Glia"""""
"GSE66351","geo_accession","""""GSM2808875"""" | """"GSM2808876"""" | """"GSM2808877"""" | """"GSM2808878"""" | """"GSM2808879"""""
"GSE66351","status","""""Public on Aug 12 2018"""""
"GSE66351","submission_date","""""Oct 12 2017"""""
"GSE66351","last_update_date","""""Aug 12 2018"""""
"GSE66351","type","""""genomic"""""
"GSE66351","channel_count","""""1"""""
"GSE66351","source_name_ch1","""""Occipital Cortex"""" | """"Frontal Cortex"""" | """"Temporal Cortex"""""
"GSE66351","organism_ch1","""""Homo sapiens"""""
"GSE66351","characteristics_ch1","""""cell type: Glia"""" | """"cell type: Neuron"""" | """"cell type: bulk"""""
"GSE66351","characteristics_ch1.1","""""diagnosis: AD"""" | """"diagnosis: CTRL"""""
"GSE66351","characteristics_ch1.2","""""braak_stage: 6"""" | """"braak_stage: 4"""" | """"braak_stage: 0"""" | """"braak_stage: 3"""" | """"braak_stage: NA"""""
"GSE66351","characteristics_ch1.3","""""brain_region: Occipital cortex"""" | """"brain_region: Frontal cortex"""" | """"brain_region: Temporal cortex"""""
"GSE66351","characteristics_ch1.4","""""age: 78"""" | """"age: 76"""" | """"age: 75"""" | """"age: 85"""" | """"age: 94"""""
"GSE66351","characteristics_ch1.5","""""Sex: F"""" | """"Sex: M"""""
"GSE66351","characteristics_ch1.6","""""donor_id: Dnr01"""" | """"donor_id: Dnr02"""" | """"donor_id: Dnr03"""" | """"donor_id: Dnr04"""" | """"donor_id: Dnr05"""""
"GSE66351","characteristics_ch1.7","""""sentrix_id: 8918692108"""" | """"sentrix_id: 8918692120"""" | """"sentrix_id: 8221932039"""" | """"sentrix_id: 9297953052"""" | """"sentrix_id: 9247377057"""""
"GSE66351","characteristics_ch1.8","""""sentrix_position: R01C02"""" | """"sentrix_position: R01C01"""" | """"sentrix_position: R02C02"""" | """"sentrix_position: R02C01"""" | """"sentrix_position: R03C02"""""
"GSE66351","molecule_ch1","""""genomic DNA"""""
"GSE66351","extract_protocol_ch1","""""Brain tissue from 100-600 mg of human post-mortem occipital cortex was used for extraction of intact nuclei. Nuclei were fixed and immuo-labled with antibodies against pan-neuronal marker NeuN and then FACS-separated into neuron- (NeuN-positive) and glia-enriched (NeuN-negative) fractions. DNA was isolated using the QIAamp DNA Micro Kit (Qiagen) according to the manufacturer's protocol and then checked for purity and degradation before analysis."""""
"GSE66351","label_ch1","""""Cy3,Cy5"""""
"GSE66351","label_protocol_ch1","""""500 ng DNA from each sample was sodium bisulfite-treated using the Zymo EZ DNA methylation Gold kit (Zymo Research) according to the manufacturer's standard protocol."""""
"GSE66351","taxid_ch1","""""9606"""""
"GSE66351","hyb_protocol","""""standard as recommended by Illumina"""""
"GSE66351","scan_protocol","""""standard as recommended by Illumina"""""
"GSE66351","description","""""Fresh frozen human post-mortem brain tissue from occipital cortex separated into neuron- and glia-specific fractions."""" | """"Fresh frozen human post-mortem brain tissue from frontal cortex."""" | """"Fresh frozen human post-mortem brain tissue from temporal cortex."""""
"GSE66351","data_processing","""""The raw data was background corrected and scale-normalized in accordance with the manufacturer recommended procedures. Probes with a detection p-value < 0.01 were removed and all samples were merged. The normalized data was corrected for array batch effects using combat (sva package)"""""
"GSE66351","platform_id","""""GPL13534"""""
"GSE66351","contact_name","""""Pavlo,,Lutsik"""""
"GSE66351","contact_email","""""pavlo.lutsik@gmail.com"""""
"GSE66351","contact_phone","""""04906813022881"""""
"GSE66351","contact_laboratory","""""EpiGenetics"""""
"GSE66351","contact_institute","""""Saarland University"""""
"GSE66351","contact_address","""""Campus A2.4, 0.04"""""
"GSE66351","contact_city","""""Saarbruecken"""""
"GSE66351","contact_zip.postal_code","""""66123"""""
"GSE66351","contact_country","""""Germany"""""
"GSE66351","supplementary_file","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808875/suppl/GSM2808875_8918692108_R01C02_Grn.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808876/suppl/GSM2808876_8918692108_R01C01_Grn.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808877/suppl/GSM2808877_8918692108_R02C02_Grn.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808878/suppl/GSM2808878_8918692108_R02C01_Grn.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808879/suppl/GSM2808879_8918692108_R03C02_Grn.idat.gz"""""
"GSE66351","supplementary_file.1","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808875/suppl/GSM2808875_8918692108_R01C02_Red.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808876/suppl/GSM2808876_8918692108_R01C01_Red.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808877/suppl/GSM2808877_8918692108_R02C02_Red.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808878/suppl/GSM2808878_8918692108_R02C01_Red.idat.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2808nnn/GSM2808879/suppl/GSM2808879_8918692108_R03C02_Red.idat.gz"""""
"GSE66351","data_row_count","""""481868"""""
"GSE97760","title","""""C01 (Control 1)"""" | """"C02 (Control 2)"""" | """"C03 (Control 3)"""" | """"C04 (Control 4)"""" | """"C05 (Control 5)"""""
"GSE97760","geo_accession","""""GSM2577046"""" | """"GSM2577047"""" | """"GSM2577048"""" | """"GSM2577049"""" | """"GSM2577050"""""
"GSE97760","status","""""Public on Apr 14 2017"""""
"GSE97760","submission_date","""""Apr 13 2017"""""
"GSE97760","last_update_date","""""Apr 14 2017"""""
"GSE97760","type","""""RNA"""""
"GSE97760","channel_count","""""1"""""
